time_s,people_in_frame
1757422336.644,1
1757422336.868,1
1757422337.005,1
1757422337.148,1
1757422337.275,1
1757422337.397,1
1757422337.516,1
1757422337.645,1
1757422337.771,1
1757422337.9,1
1757422338.025,1
1757422338.155,1
1757422338.287,1
1757422338.412,1
1757422338.536,1
1757422338.668,1
1757422338.795,1
1757422338.923,1
1757422339.048,1
1757422339.179,1
1757422339.313,1
1757422339.437,1
1757422339.579,1
1757422339.698,1
1757422339.819,1
1757422339.95,1
1757422340.082,1
1757422340.21,1
1757422340.346,1
1757422340.473,1
1757422340.603,1
1757422340.734,1
1757422340.859,1
1757422340.989,1
1757422341.118,1
1757422341.248,1
1757422341.373,1
1757422341.502,1
1757422341.624,1
1757422341.761,1
1757422341.885,1
1757422342.021,1
1757422342.165,1
1757422342.286,1
1757422342.412,1
1757422342.538,1
1757422342.675,1
1757422342.823,1
1757422342.96,1
1757422343.083,1
1757422343.219,1
1757422343.338,0
1757422343.473,0
1757422343.594,0
1757422343.726,1
1757422343.855,1
1757422343.978,0
1757422344.113,0
1757422344.233,0
1757422344.362,0
1757422344.499,0
1757422344.618,0
1757422344.748,0
1757422344.878,1
1757422345.006,0
1757422345.14,0
1757422345.277,1
1757422345.404,0
1757422345.535,0
1757422345.659,1
1757422345.786,0
1757422345.92,0
1757422346.042,0
1757422346.173,0
1757422346.301,1
1757422346.439,1
1757422346.58,0
1757422346.701,0
1757422346.823,0
1757422346.961,0
1757422347.083,0
1757422347.208,0
1757422347.346,0
1757422347.468,0
1757422347.598,0
1757422347.727,0
1757422347.855,0
1757422347.982,0
1757422348.112,0
1757422348.236,0
1757422348.355,0
1757422348.477,1
1757422348.603,1
1757422348.748,1
1757422348.881,1
1757422349.016,1
1757422349.153,1
1757422349.288,1
1757422349.419,1
1757422349.563,1
1757422349.709,1
1757422349.848,1
1757422349.983,1
1757422350.116,1
1757422350.241,1
1757422350.42,1
1757422350.55,1
1757422350.688,1
1757422350.814,1
1757422350.942,1
1757422351.063,1
1757422351.193,0
1757422351.323,1
1757422351.451,1
1757422351.588,1
1757422351.73,1
1757422351.858,1
1757422351.989,0
1757422352.129,1
1757422352.253,1
